Section,Item,TRIPOD+AI Item,Location in Manuscript,Compliance
Results — Model specification,15b,"Explain how to use the prediction model (e.g., online calculator).",§2.9,Yes — Point-of-care web app (https://score-bmn-v3.pages.dev); source code on GitHub
Results — Model performance,16,"Report performance measures (with CIs) for discrimination, calibration.",Tables 2 and 4; Figure 3,Yes — AUC with 95% CI; Brier; ICI=0.032; E/O=1.04; calibration slope=0.91
Discussion — Limitations,18,Discuss limitations (non-representativeness; over/underfitting; missing variables; etc.).,§4.8,Yes — 8 explicit limitations including cross-sectional design; simulated outcomes; imputed indicators; marginal GRS AUC
Discussion — Interpretation,19a,"Give an overall interpretation of results, considering objectives, limitations, multiplicity of analyses.",§4.1–§4.6,Yes — Comprehensive discussion of MetS prediction; BTM proof-of-concept; R3/R4 limitation; NRI context
Discussion — Implications,20,"Discuss the potential clinical use and implications for future research. If applicable, recommend a validation study.",§4.9,Yes — 6 future directions including prospective validation (critical priority); hybrid models; EHR integration
Other — Supplementary information,21,Provide information about the availability of supplementary resources.,§2.9; Declarations,Yes — GitHub repository; web application; Supplementary Methods S1; Tables S1–S4; Figures S1–S9
Other — Funding,22,Give the source of funding and the role of the funders.,Declarations — Funding,Yes — No external funding
TRIPOD+AI — AI Model Type,AI-1,Describe the type of AI/ML model used.,§2.3; §2.8,Yes — Expert-derived composite score (not ML-optimized); comparison with LR/RF/GBM; Claude AI for report generation
TRIPOD+AI — AI Training,AI-2,"Describe training procedure, hyperparameters, stopping criteria.",§2.3; Supplementary Methods S1,Not applicable — Expert-derived weights (no training/optimization on outcome data)
TRIPOD+AI — AI Feature Engineering,AI-3,Describe feature engineering and selection.,§2.3; §2.4; DOSSIER_ALGORITHME_BMN.md,Yes — 24+ features across CLEO + bioNorm + CTI + GRS; clinical rationale for each
TRIPOD+AI — AI Explainability,AI-4,Describe model explainability or interpretability.,§2.3; §2.4; §4.6,Yes — Fully interpretable composite score; axis decomposition; no black-box components
TRIPOD+AI — AI Software,AI-5,"Report software, libraries, versions, and random seeds.",§2.8,Yes — Python 3.11; scikit-learn; SciPy; seed=42; JavaScript 1113-line engine
TRIPOD+AI — AI Fairness,AI-6,Report model performance across demographic subgroups.,Table 5; §3.B.3,Yes — Performance by sex; age group; BMI category; ethnicity; T2DM; MetS status
TRIPOD+AI — AI Deployment,AI-7,Describe the intended deployment setting and user interface.,§2.9,Yes — Point-of-care web application; 20-screen questionnaire; real-time computation; AI-assisted reports
TRIPOD+AI — AI Updates,AI-8,Describe plans for model monitoring and updating.,§4.9,Yes — Prospective validation planned; Platt scaling recalibration; ML weight optimization with real outcomes
